fast_period,slow_period,total_return,cagr,max_drawdown,ann_vol,sharpe,sortino,calmar,n_entries,n_exits,n_flips,n_round_trips,avg_hold_bars,median_hold_bars,turnover,round_trip_bps,trend_period,lag
40,71,1.824597848616762,0.06500253998822192,-0.2104517920434359,0.13136228371368522,0.5450461905858434,0.4988930575032216,0.3088714016500549,3091,3090,173,3090,66.07796829505014,30.0,0.01636335831166845,2.0,200,1
39,69,1.8459293062957398,0.06548862435850378,-0.21209256059171766,0.13147295128080413,0.5481681584595299,0.5007365845369083,0.30877379279969497,3138,3137,185,3137,64.8514977692798,29.0,0.016659187372611746,2.0,200,1
39,73,1.8457550540829546,0.0654846675204126,-0.21310164315736102,0.131425629985998,0.5482902122199085,0.502599876828843,0.3072931139815597,3101,3100,175,3100,65.98097387939374,29.0,0.016423526934233188,2.0,200,1
40,67,1.893582966748757,0.06656227148729266,-0.21889856292680832,0.13146341305871603,0.5558596128882886,0.5073306775306061,0.3040781565548635,3129,3128,184,3128,64.99968040907638,29.0,0.016609046853807798,2.0,200,1
38,74,1.7616984154419844,0.0635488962484898,-0.2125672489931213,0.1313079260829857,0.5348154921422692,0.4897120243586022,0.29895901908457334,3109,3108,167,3108,65.68671598584754,29.0,0.016423526934233188,2.0,200,1
38,70,1.845623881294972,0.06548168875968563,-0.22007433527107623,0.13178137957104447,0.5471440672813227,0.5006495870680179,0.29754350355768955,3148,3147,197,3147,64.93583227445997,29.0,0.01676949651398043,2.0,200,1
37,76,1.7351939517303876,0.06292702798968675,-0.2126484524414115,0.13139090421080515,0.5301090869658646,0.48598341013270613,0.2959204605875243,3100,3099,176,3099,65.9767741935484,30.0,0.016423526934233188,2.0,200,1
40,68,1.8378857174806131,0.06530573664405148,-0.2235483629415853,0.1313668453744811,0.5471978980296892,0.49964543213098295,0.29213247542822,3126,3125,184,3125,65.0150351887396,29.0,0.01659400469816661,2.0,200,1
39,68,1.7808804347329201,0.06399547245022141,-0.2214490454857615,0.13150582740295488,0.5374002127102494,0.4908102878984095,0.2889850904972003,3151,3150,193,3150,64.6302761028245,29.0,0.016764482462100036,2.0,200,1
40,69,1.7151602748360428,0.06245321462855924,-0.21634588123813592,0.13108068832947833,0.527655180771269,0.4811560705797455,0.28867300024915116,3123,3122,181,3122,65.23406980467499,29.0,0.016563920386884243,2.0,200,1
39,70,1.6768767896695982,0.06153857190998213,-0.2185678961150016,0.1310673391455234,0.5211240150015731,0.4755360410168287,0.2815535721568323,3135,3134,183,3134,65.04274322169059,29.0,0.016634117113209772,2.0,200,1
36,61,1.5556058351212458,0.05855789505500675,-0.21053597661128887,0.13192406037121945,0.49728166163894805,0.45050901668289434,0.2781372380983692,3303,3303,184,3303,61.23796548592189,27.0,0.01748399890693669,2.0,200,1
38,75,1.5507442235326092,0.058435652584394315,-0.2111946193422931,0.13099256808175874,0.49899670749249075,0.45659578550114754,0.2766910102462643,3095,3094,179,3094,65.96155088852989,29.0,0.016413498830472398,2.0,200,1
38,62,1.9054182569366604,0.06682634756701633,-0.2420276587303849,0.1325507931020033,0.5542501554323138,0.5058355057991943,0.27611037481240874,3265,3265,188,3265,62.324042879019906,29.0,0.017313521143003267,2.0,200,1
40,58,1.639540088592923,0.06063463600986041,-0.22082001830364828,0.13189993830736044,0.5122030571174588,0.46509371507630953,0.27458849281717784,3267,3267,179,3267,61.79155188246097,28.0,0.017278422779840503,2.0,200,1
35,79,1.554214424553542,0.05852293115236917,-0.21337029061505275,0.13152782843222802,0.4981270351202321,0.4570451294358004,0.274278724482557,3149,3148,173,3148,65.1225785963798,29.0,0.01665417332073135,2.0,200,1
38,72,1.6729831457967803,0.06144486032674301,-0.22435551574448187,0.1313670424583293,0.5195625596138956,0.4746876046050324,0.27387274220938906,3146,3145,182,3145,65.02924348378893,29.0,0.01668425763201372,2.0,200,1
36,65,1.9057603849267561,0.0668339662944859,-0.24447672866098547,0.13264015721419498,0.5540197386755172,0.5066339837970025,0.27337557509272875,3284,3284,193,3284,62.16626065773447,28.0,0.01743385838813274,2.0,200,1
40,72,1.5996254845556899,0.059654906873482405,-0.21838389039554296,0.13085459919562964,0.5081829991256434,0.4644060747677636,0.27316532719255887,3081,3080,175,3080,66.10288867250893,30.0,0.01632324589662529,2.0,200,1
36,63,1.6239589725117343,0.060253854464950685,-0.2221410160976781,0.13189781018054292,0.5094866870083081,0.462929643158469,0.2712414641988327,3280,3280,186,3280,61.57469512195122,27.5,0.0173787038174484,2.0,200,1
36,64,1.7738634719527462,0.06383244728690274,-0.23655508312010254,0.13241893497117016,0.5334474177039141,0.48583279420008724,0.26984179094766714,3277,3277,187,3277,61.88251449496491,28.0,0.01736867571368761,2.0,200,1
37,61,1.48757342356978,0.05682704320486365,-0.21066516812555758,0.13181540854804816,0.4851636643965502,0.4398572973846998,0.2697505416319912,3286,3286,180,3286,61.257455873402314,27.0,0.0173787038174484,2.0,200,1
32,85,1.4877992931670483,0.05683286289746836,-0.21129000285282973,0.13201957370274262,0.4846587405680708,0.44679673466511804,0.26898036883010634,3185,3184,179,3184,64.92998430141287,28.0,0.016864763499707933,2.0,200,1
35,64,1.6108837669201268,0.059932671401689674,-0.22292206661742997,0.13187192574360118,0.507263289734049,0.4606170071177356,0.2688503310196911,3293,3293,184,3293,61.220771333130884,27.0,0.01743385838813274,2.0,200,1
35,63,1.467270082406015,0.05630187458965463,-0.20954357059436668,0.1317960523565189,0.4814473458000062,0.4364538571732922,0.2686881512515767,3315,3315,183,3315,60.833182503770736,27.0,0.01753915347762103,2.0,200,1
37,77,1.4826230270376306,0.05669936786157059,-0.21185243992630798,0.13099817936130834,0.4864479709755926,0.4456898125862662,0.26763613334495107,3108,3107,175,3107,65.79407979407979,29.0,0.016458625297395953,2.0,200,1
36,62,1.447805914303458,0.05579458681130678,-0.20856450470236843,0.13173257062005894,0.47796934853350487,0.432964113974324,0.26751717360021704,3299,3299,184,3299,61.05183388905729,27.0,0.017463942699415112,2.0,200,1
39,71,1.6149672738113927,0.06003314176925967,-0.2247920078952076,0.13103987349560062,0.5103760011480092,0.46554136928105855,0.26706083695486904,3127,3126,179,3126,65.26830828269907,29.0,0.016573948490645033,2.0,200,1
38,69,1.7317156955172077,0.06284499865322846,-0.23556280080307634,0.1317068405261782,0.5285671932083639,0.4821691370075637,0.26678659974740687,3155,3154,188,3154,64.51822503961965,29.0,0.01675946841021964,2.0,200,1
35,65,1.7581734593203842,0.06346651503354495,-0.23882651799118504,0.1323738736804361,0.5309849051761397,0.4839243490113575,0.26574316607457915,3296,3296,188,3296,61.56310679611651,27.5,0.017468956751295506,2.0,200,1
31,77,1.701949328733937,0.06213896446431799,-0.23383562781024458,0.1328407296952798,0.5201815106522124,0.4792256583126924,0.2657377964436761,3269,3268,217,3268,63.263995105536864,27.0,0.0174764778291161,2.0,200,1
33,83,1.4870077489024762,0.056812466011738394,-0.21392704513901495,0.1319191155814293,0.48478112274595575,0.44617802671994344,0.26556934853571357,3176,3175,176,3175,64.94426952141058,28.0,0.016804594877143194,2.0,200,1
36,73,1.679833967647975,0.061609659273250905,-0.23204157443178475,0.1319597808389496,0.518992910293263,0.4756053943376663,0.2655112965170939,3180,3179,205,3179,64.44591194968554,28.0,0.016970058589196223,2.0,200,1
40,59,1.7188637901496637,0.06254105278176514,-0.23593913725471094,0.13207268338679018,0.5253029510830262,0.47760665712364564,0.26507282136175736,3241,3241,182,3241,62.50601666152422,29.0,0.017163099586591422,2.0,200,1
39,74,1.5216400775064765,0.05769923595675874,-0.2182777448446951,0.13090832232580524,0.4939169527789499,0.4516299877463359,0.2643386113312277,3101,3100,173,3100,65.75201547887778,29.0,0.016413498830472398,2.0,200,1
