fast,slow,mc_mean_return,mc_median_return,mc_p05_return,mc_es05_return,mc_prob_loss,mc_mean_dd,mc_p95_dd,mc_prob_dd_le_thresh,mc_mean_sharpe,mc_p05_sharpe,mc_mean_sortino,mc_p05_sortino,mc_mean_calmar,mc_p05_calmar
40,67,-0.0424423109123677,-0.054716759119251196,-0.23614899375591006,-0.2710976088796707,0.657,-0.17339273698870256,-0.09057845206357247,0.0311,-0.345365293003358,-2.014000185445255,-0.317855263225385,-1.909056996051079,-0.029843841793142478,-0.9123563130619193
40,68,-0.04251437147745954,-0.05470738957186225,-0.23629465409351336,-0.271507192443131,0.6578,-0.17340099791871463,-0.09071389469262599,0.0312,-0.3456055027207272,-2.0053644016581793,-0.3182115999250847,-1.9143865801589057,-0.030486834109873576,-0.9126019314842311
40,71,-0.042367756113695046,-0.0549479799729385,-0.23685828103216447,-0.27243561069371675,0.6566,-0.17332390546011017,-0.09069513570018291,0.031,-0.34573620178476944,-2.0130594095390375,-0.3178449572578584,-1.9123506956633107,-0.028011400388117027,-0.9116011880638766
39,68,-0.04242427918981754,-0.0542767965540549,-0.23696991426981415,-0.2713317045947694,0.6595,-0.1734614525877436,-0.09072381266491934,0.0317,-0.34464164995289837,-2.011091865835328,-0.3174621882655126,-1.9160491957752566,-0.0299561380422013,-0.9131954140265737
39,73,-0.04223582408184171,-0.05387950811212335,-0.23721831367216253,-0.27320632036412873,0.6572,-0.17339064179714997,-0.09061343069587158,0.0315,-0.34476841300370464,-2.028186563697571,-0.3170271386031147,-1.92374806416527,-0.02666291236479323,-0.9121506900849621
40,69,-0.04228442478509235,-0.0550673077528861,-0.23728615519492738,-0.27260913375939044,0.6558,-0.1733711644738422,-0.0901079670006507,0.033,-0.3446630595879873,-2.009901903179714,-0.3169707702239026,-1.9218730476873784,-0.02707938735110231,-0.9115011134571456
39,69,-0.0425262126180591,-0.054714810164327304,-0.23734087491934594,-0.2715304447203748,0.6577,-0.1735284358240201,-0.09057966145304762,0.032,-0.3456077059470509,-2.008187513984897,-0.31842066463036384,-1.921100068271216,-0.029796587342455653,-0.9123193260303755
38,70,-0.042650778521480116,-0.0555405771347392,-0.23773631968961392,-0.27161961263169737,0.657,-0.17375002051668004,-0.09103763613408612,0.0333,-0.34636133540325253,-2.013945163484732,-0.31934420719129664,-1.9285637768973796,-0.030269416551839082,-0.9124633440334716
38,74,-0.04273099746596803,-0.0553377189636816,-0.2382313739601038,-0.2733595032237076,0.6574,-0.1737276240233998,-0.09091947254899319,0.032,-0.34789059745046935,-2.0269280956399114,-0.32051316905728006,-1.9137367005103356,-0.029780039558112828,-0.9122929963460596
37,76,-0.042728584430208896,-0.05502490338453575,-0.23902842767348367,-0.27413565984217314,0.6534,-0.17392256317868177,-0.09106098526204844,0.0327,-0.34812630988994997,-2.026913340380941,-0.32093121271060826,-1.92565054054233,-0.028423104114839635,-0.9126345474282688
